instance_key,method,run_label,A,B,E_best,E_best_improved,chain_strength,engine,gap_F_imp_vs_exact,has_exact_ref,imp_E_qubo,imp_F_markowitz,imp_feasible,imp_penalty,imp_sum_z,improve_engine,n,num_reads,q,qpu_solver,raw_E_qubo,raw_F_markowitz,raw_feasible,raw_penalty,raw_sum_z,reason,runtime_s,solver_info,status,time_limit,used_embedding
"(40, 20, 0.2, 'synthetic_factor', 2034)",tabu,first,1.1024894310024351,20,-441.22235233742953,-441.22235233742975,,tabu,,False,-441.22235233742975,-0.22657993645518651,True,0,20,python.local_descent,40,,0.20000000000000001,,-441.22235233742975,-0.22657993645518651,True,0,20,,8.00160813331604,,ok,,
"(40, 20, 0.5, 'synthetic_factor', 2035)",dwave_hybrid,first,2.5891782345562451,20,-1035.580766036629,-1035.5807660366293,,dwave.Hybrid,,False,-1035.5807660366293,0.090527785868307398,True,0,20,python.local_descent,40,,0.5,,-1035.5807660366293,0.090527785868307398,True,0,20,,13.317991733551024,"{'qpu_access_time': 548645, 'charge_time': 9994875, 'run_time': 9994875, 'problem_id': '836cdddc-9b66-4af4-9e64-ad18dde3f893', 'problem_data_id': '2a63f35d-c287-49f2-906a-36cbb0f072ea'}",ok,10,
"(40, 20, 0.5, 'synthetic_factor', 2035)",dwave_qpu,first,2.5891782345562451,20,,,,,,False,,,,,,,40,,0.5,,,,,,,n=40 > max_n=30,,,skipped,,
"(40, 20, 0.5, 'synthetic_factor', 2035)",exact,first,2.5891782345562451,20,,,,,,False,,,,,,,40,,0.5,,,,,,,n=40 > max_n=20,,,skipped,,
"(40, 20, 0.5, 'synthetic_factor', 2035)",sa,second,2.5891782345562451,20,-1035.5675324899471,-1035.5675324899453,,neal.SA,,False,-1035.5675324899453,0.10376133255360501,True,0,20,python.local_descent,40,,0.5,,-1035.5675324899453,0.10376133255360501,True,0,20,,177.13034200668335,,ok,,
"(40, 20, 0.5, 'synthetic_factor', 2035)",tabu,first,2.5891782345562451,20,-1035.6618110254249,-1035.6618110254249,,tabu,,False,-1035.6618110254249,0.009482797073733,True,0,20,python.local_descent,40,,0.5,,-1035.6618110254249,0.009482797073733,True,0,20,,8.0015220642089844,,ok,,
"(40, 20, 0.8, 'synthetic_factor', 2036)",dwave_hybrid,first,4.4175272019952079,20,-1766.8413579180462,-1766.8413579180435,,dwave.Hybrid,,False,-1766.8413579180435,0.16952288003706789,True,0,20,python.local_descent,40,,0.80000000000000004,,-1766.8413579180435,0.16952288003706789,True,0,20,,13.63000226020813,"{'qpu_access_time': 550607, 'charge_time': 9981338, 'run_time': 9981338, 'problem_id': 'b27efa1c-f1e6-4b0e-9f42-78d665c703fa', 'problem_data_id': 'dcfd81b3-ff94-40ff-ac9a-47cf5d906ea3'}",ok,10,
"(40, 20, 0.8, 'synthetic_factor', 2036)",dwave_qpu,first,4.4175272019952079,20,,,,,,False,,,,,,,40,,0.80000000000000004,,,,,,,n=40 > max_n=30,,,skipped,,
"(40, 20, 0.8, 'synthetic_factor', 2036)",exact,first,4.4175272019952079,20,,,,,,False,,,,,,,40,,0.80000000000000004,,,,,,,n=40 > max_n=20,,,skipped,,
"(40, 20, 0.8, 'synthetic_factor', 2036)",sa,second,4.4175272019952079,20,-1766.8593056382515,-1766.8593056382531,,neal.SA,,False,-1766.8593056382531,0.151575159830482,True,0,20,python.local_descent,40,,0.80000000000000004,,-1766.8593056382531,0.151575159830482,True,0,20,,218.07898879051208,,ok,,
"(40, 20, 0.8, 'synthetic_factor', 2036)",tabu,first,4.4175272019952079,20,-1766.886863117044,-1766.8868631170419,,tabu,,False,-1766.8868631170419,0.1240176810391428,True,0,20,python.local_descent,40,,0.80000000000000004,,-1766.8868631170419,0.1240176810391428,True,0,20,,8.0019230842590332,,ok,,
